Year,TribRatio,Series
1556.588921,3.503292139,Mild
1557.026239,3.473234604,Mild
1557.317784,3.441396837,Mild
1557.463557,3.416628396,Mild
1557.755102,3.375941072,Mild
1558.046647,3.342333394,Mild
1558.19242,3.315795041,Mild
1558.483965,3.27864754,Mild
1558.77551,3.246809773,Mild
1559.212828,3.214982327,Mild
1559.650146,3.190234526,Mild
1559.941691,3.174325963,Mild
1560.379009,3.19382595,Mild
1560.962099,3.222185815,Mild
1561.399417,3.246995537,Mild
1561.836735,3.268265435,Mild
1562.12828,3.280675456,Mild
1563.002915,3.298436492,Mild
1563.877551,3.31796744,Mild
1564.314869,3.337467427,Mild
1564.606414,3.371116386,Mild
1564.752187,3.383516087,Mild
1565.626822,3.3977373,Mild
1566.501458,3.40841869,Mild
1566.938776,3.415529296,Mild
1567.230321,3.433249052,Mild
1567.813411,3.458069094,Mild
1568.250729,3.479338992,Mild
1568.688047,3.500608891,Mild
1569.708455,3.520150159,Mild
1570.728863,3.539691427,Mild
1571.603499,3.555682551,Mild
1572.186589,3.566343301,Mild
1572.478134,3.589372791,Mild
1572.915452,3.617722335,Mild
1573.35277,3.647841792,Mild
1573.498542,3.653161846,Mild
1574.664723,3.640855027,Mild
1575.102041,3.614337315,Mild
1575.393586,3.573649991,Mild
1575.830904,3.538282721,Mild
1576.559767,3.497626358,Mild
1576.851312,3.47640806,Mild
1577.580175,3.499468511,Mild
1578.017493,3.504809206,Mild
1579.183673,3.504891767,Mild
1579.766764,3.512012694,Mild
1580.204082,3.54213215,Mild
1581.22449,3.607691117,Mild
1582.099125,3.671469852,Mild
1582.536443,3.682120282,Mild
1583.556851,3.691042081,Mild
1584.139942,3.707012565,Mild
1584.723032,3.730062695,Mild
1585.451895,3.730114296,Mild
1585.889213,3.708906319,Mild
1586.326531,3.68592843,Mild
1587.201166,3.66121159,Mild
1588.075802,3.650654042,Mild
1588.804665,3.648935731,Mild
1589.241983,3.625957842,Mild
1589.970845,3.592381124,Mild
1590.553936,3.56233391,Mild
1591.282799,3.530527103,Mild
1592.157434,3.505810263,Mild
1592.886297,3.479313192,Mild
1594.052478,3.451077169,Mild
1595.072886,3.426370649,Mild
1595.364431,3.408692175,Mild
1596.530612,3.391075621,Mild
1598.134111,3.398268789,Mild
1598.862974,3.403630125,Mild
1599.446064,3.412520963,Mild
1600.174927,3.414342475,Mild
1600.90379,3.432093191,Mild
1601.195335,3.45335277,Mild
1601.778426,3.479942723,Mild
1602.361516,3.506532676,Mild
1602.798834,3.529572486,Mild
1603.965015,3.549124074,Mild
1604.548105,3.568634382,Mild
1604.83965,3.591663872,Mild
1605.131195,3.61292345,Mild
1606.443149,3.602396863,Mild
1607.172012,3.60952811,Mild
1608.046647,3.613129854,Mild
1609.358601,3.597293532,Mild
1610.670554,3.58145721,Mild
1611.54519,3.565589928,Mild
1611.836735,3.546141541,Mild
1612.274052,3.521393741,Mild
1612.857143,3.500196083,Mild
1613.294461,3.491377487,Mild
1614.023324,3.484349441,Mild
1614.460641,3.487920225,Mild
1614.897959,3.507420212,Mild
1615.189504,3.528679791,Mild
1615.626822,3.551719601,Mild
1615.918367,3.560589798,Mild
1616.64723,3.565951134,Mild
1617.376093,3.571312469,Mild
1618.542274,3.571395031,Mild
1618.979592,3.571425991,Mild
1619.562682,3.578546918,Mild
1620.145773,3.598057225,Mild
1620.58309,3.605167832,Mild
1621.311953,3.605219433,Mild
1622.040816,3.598191388,Mild
1622.623907,3.592922934,Mild
1623.498542,3.592984855,Mild
1511.399417,3.445225625,Severe
1511.982507,3.445266906,Severe
1512.857143,3.452408473,Severe
1514.314869,3.452511675,Severe
1515.043732,3.452563276,Severe
1515.626822,3.459684202,Severe
1517.667638,3.459828685,Severe
1518.688047,3.459900926,Severe
1519.125364,3.438692949,Severe
1519.708455,3.399796176,Severe
1520.145773,3.375048376,Severe
1520.58309,3.348530664,Severe
1521.749271,3.348613225,Severe
1523.790087,3.32751877,Severe
1524.664723,3.325810779,Severe
1525.685131,3.31349364,Severe
1526.851312,3.29941691,Severe
1527.580175,3.288849042,Severe
1528.892128,3.2854021,Severe
1529.475219,3.299602673,Severe
1529.766764,3.308472871,Severe
1530.932945,3.320944813,Severe
1531.078717,3.331574602,Severe
1531.22449,3.347514126,Severe
1531.516035,3.382932996,Severe
1531.80758,3.423661601,Severe
1531.953353,3.446680771,Severe
1532.682216,3.473281044,Severe
1533.411079,3.501651229,Severe
1533.848397,3.515841482,Severe
1534.285714,3.549500761,Severe
1534.868805,3.590250006,Severe
1535.014577,3.595570061,Severe
1536.180758,3.608042003,Severe
1536.618076,3.583294203,Severe
1536.763848,3.567375319,Severe
1536.909621,3.531987409,Severe
1537.055394,3.491289765,Severe
1537.201166,3.452362032,Severe
1537.346939,3.416974122,Severe
1537.492711,3.378046389,Severe
1537.638484,3.346198302,Severe
1537.784257,3.309040481,Severe
1537.930029,3.275422483,Severe
1538.075802,3.240034573,Severe
1538.221574,3.20110684,Severe
1538.367347,3.148019815,Severe
1538.51312,3.140950489,Severe
1539.533528,3.165801491,Severe
1540.408163,3.188872262,Severe
1540.991254,3.204842746,Severe
1542.303207,3.222634743,Severe
1543.906706,3.245757114,Severe
1544.781341,3.258208416,Severe
1545.072886,3.279467995,Severe
1545.364431,3.304267396,Severe
1545.801749,3.341466498,Severe
1546.239067,3.364506308,Severe
1546.822157,3.391096262,Severe
1547.259475,3.417675895,Severe
1547.988338,3.453125726,Severe
1548.425656,3.476165536,Severe
1549.008746,3.502755489,Severe
1549.883382,3.524056348,Severe
1550.174927,3.536466369,Severe
1550.612245,3.573665471,Severe
1550.90379,3.603774607,Severe
1551.48688,3.655143322,Severe
1551.632653,3.674622668,Severe
1552.944606,3.692414665,Severe
1553.236152,3.694205217,Severe
1554.693878,3.674839392,Severe
1555.568513,3.660742021,Severe
1557.026239,3.637836373,Severe
1557.609329,3.60955907,Severe
1557.900875,3.595420418,Severe
1558.483965,3.637939575,Severe
1558.921283,3.669828943,Severe
1559.941691,3.646892335,Severe
1560.233236,3.638063418,Severe
1560.670554,3.606235971,Severe
1560.962099,3.588557496,Severe
1561.836735,3.572690214,Severe
1562.419825,3.547952734,Severe
1562.857143,3.521435022,Severe
1564.169096,3.502058877,Severe
1564.897959,3.533968885,Severe
1566.06414,3.539361181,Severe
1566.355685,3.564160582,Severe
1566.64723,3.592499806,Severe
1566.938776,3.617299208,Severe
1569.271137,3.597995304,Severe
1571.603499,3.576921489,Severe
1572.332362,3.614141232,Severe
1572.915452,3.644271008,Severe
1573.35277,3.672620553,Severe
1573.498542,3.677940607,Severe
1574.956268,3.653265048,Severe
1577.142857,3.644570293,Severe
1578.309038,3.619874094,Severe
1579.620991,3.593418303,Severe
1580.204082,3.618238345,Severe
1581.078717,3.655468407,Severe
1581.661808,3.696217653,Severe
1581.953353,3.712167497,Severe
1583.994169,3.730011094,Severe
1585.889213,3.731915168,Severe
1586.618076,3.693028716,Severe
1587.492711,3.726718956,Severe
1588.367347,3.733860523,Severe
1589.09621,3.712673186,Severe
1589.533528,3.695005031,Severe
1589.970845,3.725124487,Severe
1590.262391,3.760543358,Severe
1590.699708,3.790662814,Severe
1591.137026,3.764145102,Severe
1591.720117,3.728788152,Severe
1592.303207,3.696971026,Severe
1593.177843,3.651015248,Severe
1593.906706,3.610358884,Severe
1594.344023,3.580301349,Severe
1595.072886,3.541414897,Severe
1595.801749,3.511378003,Severe
1596.530612,3.486650842,Severe
1597.259475,3.463693594,Severe
1598.279883,3.449606543,Severe
1599.446064,3.435529812,Severe
1600.029155,3.410792332,Severe
1600.612245,3.394904409,Severe
1600.758017,3.412613845,Severe
1601.049563,3.449802626,Severe
1601.341108,3.495840966,Severe
1601.341108,3.508230347,Severe
1602.069971,3.525981062,Severe
1602.507289,3.536631492,Severe
1603.236152,3.520753889,Severe
1603.527697,3.513694884,Severe
1604.25656,3.542065069,Severe
1604.693878,3.563334967,Severe
1604.985423,3.582824634,Severe
1605.276968,3.602314301,Severe
1605.568513,3.625343791,Severe
1606.588921,3.636035501,Severe
1607.463557,3.639637246,Severe
1608.483965,3.636169664,Severe
1609.650146,3.615013287,Severe
1611.253644,3.590348048,Severe
1611.836735,3.565610568,Severe
1612.274052,3.540862767,Severe
1613.440233,3.548024975,Severe
1614.169096,3.535687195,Severe
1614.897959,3.556977734,Severe
1615.918367,3.599527852,Severe
1616.06414,3.604847906,Severe
1617.667638,3.58372249,Severe
1619.271137,3.564366986,Severe
1622.186589,3.548644186,Severe
1623.206997,3.548716427,Severe
