Sex,Age,AllCauses,WhitmoreCombo,RespTB,OtherIandP,Cancer,Cardiovascular,InflPneuBronch,Diarrheal,CertainChronic,Maternal,CertainDiseasesofInf,AutoAccident,OtherViolence,OtherUnknown
Average,5,6.698,4.3655,0.39,2.233,0.017,0.2385,1.3205,0.422,0.0915,0,0,0.0135,0.349,1.623
Average,10,4.283,2.6895,0.652,1.1045,0.0195,0.2675,0.785,0.148,0.0625,0.007,0,0.007,0.305,0.925
Average,15,6.943,4.5355,2.0125,1.1635,0.026,0.3865,1.221,0.1385,0.477,0.208,0,0.007,0.5765,1.1135
Average,20,9.596,6.1585,2.9385,1.313,0.0565,0.4825,1.7075,0.1995,0.1345,0.464,0,0.017,0.8305,1.4525
Average,25,10.5035,6.493,3.016,1.2645,0.0965,0.6765,1.968,0.2445,0.185,0.5565,0,0.015,0.8375,1.6435
Average,30,11.5365,6.7665,3.021,1.287,0.215,0.901,2.1875,0.271,0.274,0.605,0,0.0145,0.8005,1.96
Average,35,12.97,7.1335,2.978,1.3475,0.3955,1.324,2.4405,0.3675,0.3745,0.5895,0,0.023,0.778,2.352
Average,40,14.7125,7.6955,2.9415,1.3955,0.7005,1.888,2.905,0.4535,0.498,0.379,0,0.0185,0.7725,2.7605
Average,45,17.405,8.548,3.046,1.467,1.0725,2.7585,3.4665,0.5685,0.6935,0.106,0,0.0245,0.7485,3.4535
Average,50,21.448,9.599,3.0695,1.5745,1.525,4.063,4.2025,0.7525,0.916,0.014,0,0.0225,0.812,4.4965
Average,55,28.0435,11.4305,3.211,1.742,2.161,5.9875,5.3815,1.096,1.259,0.005,0,0.025,0.818,6.3575
Average,60,39.58,14.8495,3.3045,2.02,2.567,9.551,7.882,1.643,1.551,0.003,0,0.0325,1.003,10.023
Average,65,56.9485,19.817,3.49,2.5045,3.2215,14.765,11.325,2.4975,2.1515,0,0,0.0605,1.028,15.905
Average,70,79.3665,24.56,3.537,2.8795,3.969,20.705,15.1,3.0435,2.454,0,0,0.0215,1.3315,26.3255
Average,75,115.445,33.3285,3.1685,3.324,4.29,30.0605,21.7105,5.1255,3.2405,0,0,0.0365,1.5455,42.9435
Average,80,183.6605,46.181,3.0445,3.8515,4.3635,39.523,29.6245,9.6605,4.0185,0,0,0.016,2.255,87.3035
Average,85,309.2535,68.877,1.937,4.481,3.9865,54.2495,46.186,16.273,5.3755,0,0,0.0095,3.432,173.3235
